id,zimmer,Flaeche,baujahr,Latitude,Longitude,mietpreis
0,2.5,59,,47.4062947,9.3251469,
1,2.5,68,,47.4077958,9.3324176,1545
2,3.0,80,1966,47.42615505,9.376347931506103,1300
3,3.0,,,47.436958149999995,9.392106340009857,850
4,2.0,,,47.4296003,9.3918361,940
5,2.5,,,47.42461015,9.383825768015402,860
6,2.0,50,,47.43282365,9.37769575,895
7,4.5,100,,47.4124998,9.3638839,1350
8,6.5,180,1960,47.4238554,9.3630017,2100
9,4.0,,,47.42695635,9.377736403499394,1350
10,1.5,29,,47.4065613,9.3106141,790
11,2.5,67,,47.4316527,9.39404,1300
12,2.5,75,,47.4021123,9.3030733,1210
13,3.5,,,47.4110607,9.341624173099442,940
14,2.0,44,,47.4112502,9.3427816,750
15,2.5,89,2016,47.43959355,9.38033785,1850
16,3.5,75,,47.4380237,9.3887945,1000
17,3.0,65,,47.42015705,9.355528461076599,950
18,2.5,55,,47.4322443,9.4142386,1100
19,2.0,50,,47.43298425,9.393817529542861,840
20,4.5,110,1930,47.430174699999995,9.375272150000004,1860
21,1.0,25,,47.4249303,9.3749226,860
22,3.5,85,,47.40702685,9.334551635466143,1100
23,4.0,65,,47.4082909,9.3287294,1080
24,2.5,48,1930,47.4074892,9.3325655,1070
25,3.5,,,47.4362412,9.4094264,1100
26,2.5,89,2016,47.43959355,9.38033785,1590
27,1.0,23,,47.4182972,9.368701679025445,650
28,4.5,,,47.434334,9.38894984262852,1850
29,1.0,26,,47.441403,9.390908301326343,500
30,2.5,,,47.4257163,9.3848239,1040
31,3.5,71,,47.4321416,9.3947223,1220
32,2.5,48,1900,47.424620649999994,9.378630140087617,1130
33,3.0,66,,47.4367876,9.3913842,1450
34,4.0,80,,47.42467875,9.38286575,1095
35,3.5,84,1984,47.4211627,9.3555651,1310
36,3.0,,1900,47.4064187,9.3693515,920
37,3.5,90,,47.4149142,9.3649828,1720
38,3.5,,,47.4198745,9.37874068145182,1400
39,1.0,21,,47.41731605,9.349737700000002,920
40,4.0,79,,47.4143808,9.3920853,1297
41,3.5,80,,47.4316527,9.39404,1546
42,2.5,41,1930,47.416226,9.3635595,880
43,4.0,100,,47.43767565,9.389967502345332,1300
44,4.5,90,,47.4072318,9.3689742,1300
45,3.5,,,47.43333825,9.39841198785211,1500
46,3.0,,,47.4250593,9.3765878,1000
47,4.0,,,47.4250593,9.3765878,1550
48,3.5,,,47.41304835,9.355129350000002,1090
49,3.5,,,47.4320517,9.4003227,1190
50,3.0,,,47.4287673,9.39295,1100
51,4.0,,,47.4357479,9.3898602,1125
52,4.5,,,47.43664765,9.409934047751209,1402
53,3.5,70,,47.4129836,9.364273811840395,980
54,3.5,74,1985,47.4419431,9.4120559,1300
55,4.5,100,,47.430813,9.3939065,1430
56,4.5,91,1912,47.41948895,9.351192424915869,1325
57,3.0,75,2016,47.4137437,9.3647792,1480
58,3.5,,,47.4272316,9.3649329,1100
59,4.0,68,1963,47.4227449,9.3832898,1140
60,5.5,97,1968,47.4419233,9.4098762,1400
61,4.5,92,,47.438579849999996,9.378692349999996,1044
62,4.5,119,,47.413211,9.3327871,1940
63,3.5,74,2021,47.414316,9.3451157,1460
64,3.5,79,,47.421110299999995,9.370810650000003,1430
65,2.5,75,,47.4021123,9.3030733,1210
66,4.5,100,1998,47.44058565,9.396741043347895,1350
67,2.5,60,,47.4250593,9.3765878,1350
68,3.5,81,,47.4393859,9.3945294,1430
69,4.5,,,47.403695400000004,9.298703760566385,1260
70,3.5,,,47.403596050000004,9.299147363621023,1150
71,4.0,70,1920,47.436968750000005,9.404610232418621,1150
72,1.0,23,1962,47.4170372,9.3587582,550
73,3.0,72,1920,47.4251548,9.3722285,1100
74,2.5,,,47.424940899999996,9.376682375919245,1700
75,2.5,,,47.4279966,9.3801747,1100
76,2.0,,,47.4285538,9.3760494,995
77,2.5,,,47.4250593,9.3765878,2250
78,4.0,,,47.4250593,9.3765878,2600
79,2.5,,,47.4250593,9.3765878,1550
80,2.5,,,47.424940899999996,9.376682375919245,1600
81,2.5,,,47.424940899999996,9.376682375919245,1600
82,3.5,87,2022,47.42300815,9.364755919424915,1900
83,2.5,63,2022,47.42300815,9.364755919424915,1460
84,1.5,39,,47.43706735,9.413899954952651,820
85,1.5,21,,47.43441635,9.400965299561886,634
86,1.0,21,,47.428073,9.3747181,770
87,3.0,75,,47.4250593,9.3765878,1150
88,2.5,75,2008,47.4014419,9.3025811,1390
89,2.5,42,,47.4380545,9.4034954,1120
90,4.5,94,,47.4381502,9.4033221,1790
91,2.5,51,,47.4380545,9.4034954,1370
92,2.5,58,,47.4380545,9.4034954,1440
93,1.5,29,,47.4380545,9.4034954,1100
94,3.0,,,47.4364988,9.4075918,1090
95,2.5,42,1920,47.4104535,9.3356353,730
96,2.5,42,1920,47.4104535,9.3356353,730
97,3.5,84,1981,47.4375729,9.420471747319567,1240
98,1.5,34,1920,47.4244237,9.378825,660
99,4.0,,,47.4276439,9.3636994,1360
