,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,4.0,,,1000,47.4082182,9.3283196
1,4.0,,,1100,47.4081917,9.3279299
2,3.5,,,1102,47.4162861,9.346183
3,3.0,,,920,47.4080338,9.3279728
4,3.0,49,1920,1200,47.4157746,9.364583
5,2.5,66,2009,1575,47.43145165,9.399827727237081
6,5.0,122,,2150,47.42514205,9.387981591417656
7,6.5,,,2350,47.4366372,9.416649372792685
8,3.5,,,940,47.436454,9.4079607
9,3.5,,,1160,47.40188605,9.300429348465151
10,6.5,,,2350,47.4364418,9.417565000462428
11,4.5,,,1330,47.40200555,9.30012219653716
12,3.5,60,,1350,47.4335441,9.3719144
13,3.0,,,990,47.4299875,9.3928374
14,2.0,,,880,47.4300587,9.3931429
15,6.5,220,1509,3500,47.4249409,9.3774671
16,2.5,55,1995,950,47.41919925,9.352546399901573
17,3.0,70,,1100,47.4309942,9.3922921
18,4.5,150,,3010,47.4246429,9.3760055
19,5.0,109,,1340,47.44115495,9.390661314814086
20,3.0,73,,1300,47.2288222,8.818598
21,2.5,55,,1250,47.4250593,9.3765878
22,3.0,,,1250,47.4284689,9.3782339
23,3.0,60,,875,47.433879250000004,9.37892319383224
24,3.5,75,,1030,47.4250593,9.3765878
25,4.5,107,1963,1940,47.435649850000004,9.37887920285592
26,4.0,,,1250,47.4193966,9.3638557
27,4.0,,,1250,47.4193966,9.3638557
28,3.5,99,1972,1100,47.4178076,9.345679
29,6.5,125,1947,1230,47.43407775,9.394933092892721
30,4.0,,,1225,47.4026085,9.3318105
31,3.5,69,,1180,47.4118355,9.334704
32,3.5,85,,1620,47.435946349999995,9.386658863211235
33,3.0,70,,820,47.4250593,9.3765878
34,3.5,83,1986,1300,47.4248033,9.384963720365853
35,3.5,,,965,47.4126578,9.350808061064953
36,3.5,,,1170,47.430814999999996,9.392561400000002
37,3.5,74,,1115,47.4332152,9.394987185249308
38,3.0,,,890,47.4185881,9.366911626830284
39,3.5,70,,1100,47.43847285,9.38890260610103
40,4.5,,,1140,47.4193257,9.351620253033094
41,,,,,47.3792631,9.535827903836715
42,2.0,,,800,47.4393783,9.39569558321545
43,3.5,93,,1590,47.43991405,9.4125481
44,4.5,119,,1930,47.4134903,9.3333067
45,3.5,,,1200,47.4379369,9.3882348
46,2.0,33,1900,900,47.424301,9.3792653
47,3.5,77,1979,1210,47.4372142,9.418731465028095
48,3.0,64,,980,47.4409223,9.3943375
49,3.0,60,,1000,47.43624915,9.392436753786885
50,3.5,161,2005,2150,47.4147224,9.3377813
51,3.5,72,1914,1400,47.42599205,9.401426868476953
52,3.5,80,1993,1370,47.4029449,9.336454
53,1.5,30,,780,47.4239824,9.382896278403125
54,3.0,61,,700,47.4159185,9.3654273
55,3.5,65,,1100,47.4374497,9.3776492
56,1.0,42,,1200,47.4244317,9.3806965
57,1.5,,,650,47.4075447,9.3328801
58,2.5,59,,1010,47.4366391,9.388017399999999
59,3.5,62,1959,1110,47.4403294,9.3909029
60,4.0,90,1919,1280,47.409996050000004,9.366068947994657
61,4.5,,1984,1390,47.43196325,9.392967358813301
62,3.5,100,1920,1250,47.42073595,9.354283340819645
63,4.0,70,,1095,47.4187627,9.3514114
64,1.5,30,1979,750,47.4151377,9.3966429
65,3.5,,,1400,47.438776,9.3905393
66,3.5,102,,1180,47.43608585,9.403601650000004
67,3.5,69,,1210,47.41942985,9.3530144
68,4.5,82,,1050,47.41334985,9.353958193421594
69,3.5,110,,1100,47.4183838,9.367152817431275
70,4.5,129,2010,1760,47.4018579,9.3028414
71,5.0,110,,1290,47.4307844,9.3983652
72,3.5,85,,1095,47.4319431,9.393447850000005
73,2.5,59,,1050,47.4180125,9.3603649
74,4.0,64,1962,1120,47.4356427,9.4111555
75,,23,,590,47.424659649999995,9.372460509462734
76,4.5,114,,1780,47.423924150000005,9.362622599999998
77,3.0,,,820,47.412964099999996,9.352226700000003
78,4.0,125,1900,1400,47.4408448,9.3941372
79,3.5,80,,1600,47.4315627,9.3939302
80,2.0,,1999,870,47.417561750000004,9.357380249999999
81,4.5,88,1920,1275,47.4207826,9.3561663
82,1.0,14,,550,47.4244254,9.3806033
83,2.5,,,980,47.4301751,9.3804861
84,4.0,145,,1530,47.4185994,9.3616311
85,3.5,84,,1440,47.4130725,9.354494845471296
86,3.5,77,,1950,47.42633255,9.361973024803374
87,2.5,68,,1380,47.4064793,9.3357977
88,,,,750,47.4250593,9.3765878
89,3.0,80,1921,1020,47.40744465,9.33434595
90,4.5,79,,1300,47.4117635,9.3439214
91,3.0,,,1100,47.4213288,9.3536423
92,4.5,78,,1080,47.4368506,9.392329660848308
93,4.0,68,1920,1080,47.4190571,9.35286884616826
94,3.5,68,,1050,47.435933,9.4034999
95,4.5,98,,1480,47.4297973,9.4003237
96,3.0,,,800,47.407486399999996,9.329088368784532
97,3.5,62,1963,1350,47.4248494,9.3786762
98,3.0,75,,1000,47.4331689,9.404168138419479
99,2.0,38,,1240,47.437033400000004,9.388326800000003
