id,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,3.5,90,1919,1110,47.42846885,9.39212685
1,4.5,80,,790,47.4250593,9.3765878
2,4.0,,,1100,47.4246274,9.3815309
3,3.0,,,918,47.4246289,9.3814145
4,2.5,,,940,47.4299875,9.3928374
5,2.5,75,,1460,47.4250593,9.3765878
6,1.5,,,900,47.42683165,9.377498787580443
7,2.5,,,945,47.4298058,9.3919127
8,4.5,90,,1420,47.446184099999996,9.40417370283257
9,3.0,80,,1040,47.4381054,9.3919038
10,3.0,,,1150,47.40744465,9.33434595
11,2.5,50,,990,47.4378862,9.388690308822234
12,3.5,70,,1080,47.442668499999996,9.394527896262517
13,2.5,,2020,1410,47.424335,9.3766384
14,2.5,59,2022,1480,47.423315599999995,9.364675550000001
15,3.5,126,,2250,47.42456415,9.376516754573792
16,4.0,70,,1040,47.4214752,9.37819700493861
17,4.5,106,,1870,47.399700949999996,9.298552277616512
18,4.5,94,1996,1220,47.450600300000005,9.397851804620855
19,4.5,97,1996,1230,47.45036035,9.39774208151244
20,4.5,,,1440,47.4299645,9.3806668
21,3.5,117,1994,1635,47.4142976,9.39733015
22,2.0,35,,720,47.4129836,9.364273811840395
23,3.5,,,1050,47.41466165,9.362544750000001
24,4.5,155,1988,2400,47.4256408,9.3623646
25,3.5,84,,1100,47.4250593,9.3765878
26,3.5,67,,1331,47.421110299999995,9.370810650000003
27,3.5,95,,2260,47.422733550000004,9.361263749999999
28,3.0,,,960,47.4172245,9.3483432
29,3.5,74,,990,47.407865799999996,9.332218247868612
30,3.0,69,1956,1080,47.4328956,9.3964123
31,2.5,69,2017,1440,47.44053745,9.393823506731614
32,1.5,38,,1020,47.4294607,9.3723868
33,3.0,,,890,47.4161412,9.3608491
34,3.5,92,1995,1355,47.442667549999996,9.410308003682792
35,3.5,,1990,1260,47.41928235,9.370915580699652
36,1.5,28,1969,770,47.427189850000005,9.374786557882883
37,4.5,85,,1350,47.4332662,9.40221457434199
38,4.5,94,,1280,47.441403,9.390908301326343
39,3.5,76,1968,1200,47.44112,9.4049795
40,3.0,53,,1370,47.230288599999994,8.826837712757541
41,4.0,95,1905,1090,47.4335066,9.394734249999999
42,2.5,70,,1200,47.436224100000004,9.401221661818184
43,5.5,116,,1920,47.418059150000005,9.357176847045933
44,3.5,80,1970,1200,47.4418953,9.406687
45,2.5,60,,940,47.4125931,9.3641358
46,4.5,90,,1250,47.4399471,9.3913833
47,2.5,52,2022,1100,47.41450815,9.363500294666983
48,2.5,61,2022,,47.41469965,9.363802350000004
49,1.0,22,1963,625,47.4263363,9.3748846
50,3.0,,,1250,47.4278803,9.39057044031454
51,3.5,100,,1900,47.4250593,9.3765878
52,2.0,37,,1050,47.4245054,9.3748445
53,5.5,173,1989,2200,47.4228105,9.360361696191331
54,,,,630,47.4250593,9.3765878
55,1.5,32,,590,47.4292214,9.3917496
56,2.5,106,2005,2100,47.414507900000004,9.337303649999996
57,3.5,162,2005,2150,47.4149018,9.33735595
58,2.0,50,,1070,47.40831755,9.341983227421043
59,2.5,,2020,1430,47.4282558,9.39255819939378
60,3.0,,,1050,47.4302636,9.380157282176715
61,3.5,80,1918,1240,47.4064187,9.3693515
62,2.5,40,,930,47.438579849999996,9.378692349999996
63,3.5,,,1480,47.43823975,9.388904386165326
64,3.0,,,1010,47.4375413,9.3782553
65,2.5,73,,1395,47.4319444,9.4129431
66,3.5,,,1180,47.4250593,9.3765878
67,3.0,84,,1000,47.4182009,9.361637
68,2.5,64,,990,47.4205193,9.3732272
69,1.5,40,,1190,47.443191150000004,9.395131267245993
70,3.5,49,,1130,47.4077278,9.3338465
71,2.0,51,,880,47.4250593,9.3765878
72,,,,1200,47.4397195,9.3910355
73,4.5,95,1979,1300,47.4151379,9.3968099
74,3.5,79,1972,1285,47.4493354,9.3978672
75,3.5,84,2012,1670,47.4072322,9.326983027846607
76,3.5,92,1980,1540,47.4358309,9.4146965
77,3.5,,,940,47.4364639,9.4077997
78,3.0,,,890,47.4364639,9.4077997
79,3.5,120,2015,2600,47.42520435,9.36697020395286
80,3.5,69,1976,1200,47.4480582,9.3975672
81,,,1903,1050,47.4197822,9.354239699999997
82,1.5,33,1962,720,47.4192806,9.37303517214261
83,4.5,94,1902,1230,47.43283435,9.3939186
84,2.0,,,915,47.4286205,9.378136
85,3.5,,1995,1450,47.4019387,9.295986720142249
86,2.5,52,,1120,47.4365547,9.3919391
87,2.5,76,2012,1680,47.4067475,9.327867106525957
88,3.5,46,,1100,47.4290357,9.1285732
89,4.5,106,,1870,47.40005315,9.298915723949738
90,3.5,,,1400,47.4234593,9.3728297
91,4.5,,,1330,47.40188605,9.300429348465151
92,4.5,88,,1360,47.4326222,9.392319145887097
93,2.5,77,,1765,47.422085,9.3737548
94,5.5,125,,1960,47.4122729,9.3550032
95,3.5,,,1240,47.4377633,9.4037507
96,2.5,76,,1665,47.422085,9.3737548
97,1.5,30,,730,47.423160949999996,9.38240318079152
98,4.0,85,1900,1100,47.43456895,9.38714375
99,3.5,,,1150,47.4317002,9.3971431
