BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2009;5.5;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2010;6.1;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2011;7.3;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2012;7.2;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2013;8.7;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2014;9.3;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2015;9.7;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2016;10.0;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2017;10.1;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2018;10.5;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2019;11.2;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2020;12.1;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;445;Anteil Wohnungen in Gebäuden mit Baujahr nach 2000 [%];2021;12.9;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2011;1.2;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2012;1.1;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2013;2.7;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2014;3.3;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2015;3.8;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2016;4.1;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2017;4.2;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2018;4.7;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2019;5.4;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2020;6.3;%;Prozent;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Wohnungsbestand;446;Anteil Wohnungen in Gebäuden mit Baujahr nach 2010 [%];2021;7.1;%;Prozent;
