id;Latitude;Longitude;cheapness;condition;location;score
0;47.43940585;9.382397877725758;1.0;;7.0;
1;47.44330215;9.409444595042036;1.0;7.2;7.0;4.06
2;47.4360592;9.4083591;10.0;3.9;7.0;7.57
3;47.42456415;9.376516754573792;1.0;3.3;7.0;2.89
4;47.4243505;9.3764098;1.0;;7.0;
5;47.4284422;9.3650603;1.0;;7.0;
6;47.4329104;9.3970976;10.0;;7.0;
7;47.4329104;9.3970976;10.0;;7.0;
8;47.4044256;9.3408787;1.0;5.2;7.0;3.46
9;47.4335966;9.4100812;10.0;;7.0;
10;47.43286265;9.398284247469434;1.0;;7.0;
11;47.418344;9.3818168;5.0;;7.0;
12;47.4311029;9.4007211;10.0;;7.0;
13;47.437343850000005;9.379233986718026;1.0;;7.0;
14;47.4475266;9.405852;1.0;7.7;7.0;4.21
15;47.43664765;9.409934047751207;1.0;;7.0;
16;47.4358835;9.3840768;1.0;2.7;7.0;2.71
17;47.417316;9.359091599210808;10.0;;7.0;
18;47.4074701;9.3323992;7.0;;7.0;
19;47.44301845;9.409875988925334;1.0;7.2;7.0;4.06
20;47.4175522;9.3589454;1.0;;7.0;
21;47.4175522;9.3589454;1.0;;7.0;
22;47.4175522;9.3589454;1.0;;7.0;
23;47.4175522;9.3589454;1.0;;7.0;
24;47.4175522;9.3589454;1.0;;7.0;
25;47.4361963;9.419055693514824;10.0;8.6;7.0;8.98
26;47.4315623;9.3992568;1.0;;7.0;
27;47.42531985;9.383418700000004;10.0;;7.0;
28;47.4090351;9.3416317;1.0;9.8;7.0;4.84
29;47.44053195;9.39302495;1.0;9.5;7.0;4.75
30;47.4269555;9.3645723;1.0;5.0;7.0;3.4
31;47.41793585;9.350596612944916;10.0;;7.0;
32;47.4366521;9.405104;10.0;;7.0;
33;47.4376945;9.4046617;1.0;9.9;7.0;4.87
34;47.4061226;9.3250183;10.0;;7.0;
35;47.42392915;9.382682007554054;1.0;2.7;7.0;2.71
36;47.4173824;9.366950090310072;10.0;;7.0;
37;47.4334248;9.393085718872117;1.0;9.7;7.0;4.81
38;47.416382;9.380926661408498;1.0;;7.0;
39;47.402303;9.3367384;2.0;7.0;7.0;4.5
40;47.4250593;9.3765878;10.0;;7.0;
41;47.42657255;9.384370565866874;1.0;;7.0;
42;47.4065016;9.3103955;1.0;;7.0;
43;47.42700405;9.38890850566048;1.0;9.8;7.0;4.84
44;47.418079950000006;9.355526250000008;2.0;;7.0;
45;47.422085;9.3737548;1.0;;7.0;
46;47.4199202;9.3523401;2.0;;7.0;
47;47.4255978;9.378218320423022;4.0;;7.0;
48;47.4258864;9.3769489;1.0;9.8;7.0;4.84
49;47.4211217;9.3703767;1.0;8.4;7.0;4.42
50;47.4264005;9.3717483;6.0;;7.0;
51;47.436168;9.4107813;1.0;;7.0;
52;47.4064351;9.3364338;1.0;;7.0;
53;47.42490715;9.389507766437594;10.0;;7.0;
54;47.4268122;9.38412115;10.0;;7.0;
55;47.4268122;9.38412115;1.0;;7.0;
56;47.4268122;9.38412115;1.0;;7.0;
57;47.4267154;9.3641619;1.0;5.0;7.0;3.4
58;47.4273866;9.384420231121856;1.0;;7.0;
59;47.425217;9.37797348328104;6.0;;7.0;
60;47.41911185;9.372630503680885;10.0;4.3;7.0;7.69
61;47.4176213;9.3515874;10.0;;7.0;
62;47.4305558;9.383515934848576;2.0;;7.0;
63;47.4270046;9.3774393;1.0;;7.0;
64;47.4215582;9.3687059;10.0;3.7;7.0;7.51
65;47.4313665;9.4001637;1.0;9.4;7.0;4.72
66;47.42494295;9.368572832813053;1.0;3.1;7.0;2.83
67;47.4376945;9.4046617;1.0;9.9;7.0;4.87
