BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;111;Nettomietpreis 1-Zi-Wohnung (VI oberer Wert) [Fr.];2020;735;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;110;Nettomietpreis 1-Zimmerwohnung (Schätzwert) [Fr.];2020;685;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;318;Nettomietpreis 1-Zi-Wohnung (VI unterer Wert) [Fr.];2020;635;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;113;Nettomietpreis 2-Zi-Wohnung (VI oberer Wert) [Fr.];2020;1051;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;112;Nettomietpreis 2-Zimmerwohnung (Schätzwert) [Fr.];2020;1009;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;319;Nettomietpreis 2-Zi-Wohnung (VI unterer Wert) [Fr.];2020;967;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;115;Nettomietpreis 3-Zi-Wohnung (VI oberer Wert) [Fr.];2020;1215;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;114;Nettomietpreis 3-Zimmerwohnung (Schätzwert) [Fr.];2020;1182;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;320;Nettomietpreis 3-Zi-Wohnung (VI unterer Wert) [Fr.];2020;1148;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;117;Nettomietpreis 4-Zi-Wohnung  (VI oberer Wert) [Fr.];2020;1343;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;116;Nettomietpreis 4-Zimmerwohnung (Schätzwert) [Fr.];2020;1307;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;321;Nettomietpreis 4-Zi-Wohnung  (VI unterer Wert) [Fr.];2020;1271;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;119;Nettomietpreis 5-Zi-Wohnung (VI oberer Wert) [Fr.];2020;1710;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;118;Nettomietpreis 5-Zimmerwohnung (Schätzwert) [Fr.];2020;1628;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;322;Nettomietpreis 5-Zi-Wohnung (VI unterer Wert) [Fr.];2020;1546;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;121;Nettomietpreis 6+-Zi-Wohnung (VI oberer Wert) [Fr.];2020;2378;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;120;Nettomietpreis 6+-Zimmerwohnung (Schätzwert) [Fr.];2020;2152;Fr.;Franken;
3203;Stadt St.Gallen;Bau und Immobilien;Wohnungen;Mietpreise;323;Nettomietpreis 6+-Zi-Wohnung (VI unterer Wert) [Fr.];2020;1925;Fr.;Franken;
